iter	TotalF1	MultiClass
0	0.6523329677	1.058010328
1	0.6550644872	1.022241285
2	0.6535935282	0.9911588902
3	0.6557785008	0.96314443
4	0.6512925801	0.9382890323
5	0.6547137294	0.9157650113
6	0.6546315391	0.8956709443
7	0.6543959527	0.8774536433
8	0.6535463471	0.8609939096
9	0.6532067247	0.8457925916
10	0.6531039202	0.8319742029
11	0.6528442092	0.8190365391
12	0.6582162462	0.8075477331
13	0.6570339554	0.79677254
14	0.6578080366	0.7868544039
15	0.6597671057	0.7777535501
16	0.660991738	0.7692538883
17	0.6621106466	0.761607003
18	0.6657242765	0.7544485008
19	0.6660582564	0.7476614999
20	0.6654755872	0.7414170692
21	0.6674682052	0.7356354839
22	0.6674784298	0.7303538688
23	0.6677562349	0.7256101436
24	0.6683376823	0.7210026453
25	0.6684693808	0.7167092237
26	0.6688951214	0.7127892665
27	0.6700324361	0.7089867877
28	0.6699402932	0.7055082115
29	0.6698635713	0.7021946218
30	0.6695355407	0.6994600726
31	0.6696945008	0.6964443377
32	0.6706651631	0.6939061233
33	0.6704641831	0.6914129974
34	0.6708904584	0.6889740552
35	0.671829022	0.6867969313
36	0.6719285967	0.6846932392
37	0.671764286	0.6825510039
38	0.6719256834	0.6805116556
39	0.672368205	0.6786998508
40	0.6728521388	0.6770708202
41	0.6734573849	0.6755795914
42	0.673623878	0.6739056303
43	0.673588347	0.6723976327
44	0.6739752817	0.6711324584
45	0.674636886	0.669784153
46	0.6746503488	0.6684496603
47	0.6748707161	0.6671908971
48	0.6748823893	0.6660591225
49	0.6756826439	0.6652506392
50	0.6761354403	0.6641591368
51	0.6759307257	0.6633611744
52	0.6759487992	0.6624207598
53	0.6759737188	0.6614430932
54	0.6760528011	0.6605898621
55	0.6762047046	0.6597120572
56	0.6761223922	0.6587928443
57	0.6764272049	0.6582122564
58	0.6763864188	0.6573872886
59	0.6766874215	0.6567115617
60	0.6768217604	0.6561392895
61	0.6770703101	0.6555873949
62	0.6772463451	0.6548613213
63	0.6776050777	0.6542810036
64	0.6778995133	0.6537028156
65	0.6782692535	0.65314644
66	0.6783114991	0.6525819422
67	0.6783822078	0.6519219765
68	0.678404297	0.6513717696
69	0.6785330526	0.6508711853
70	0.6787234056	0.6502879387
71	0.679063684	0.6498406852
72	0.6792124387	0.6495048595
73	0.6794088047	0.6491442022
74	0.679461536	0.6485937727
75	0.6796935711	0.6482202534
76	0.6799243976	0.6479156568
77	0.6800184268	0.6474077464
78	0.680194283	0.6469214804
79	0.6804073709	0.6463924721
80	0.6806130556	0.6461264004
81	0.6805673295	0.6457760545
82	0.680772071	0.6452737718
83	0.6808550685	0.6448979613
84	0.6808630887	0.6446295473
85	0.6810875265	0.6443947464
86	0.6812152032	0.6441074369
87	0.681351401	0.6437963097
88	0.6815655672	0.6435326641
89	0.6818297341	0.6432547877
90	0.6820057494	0.6430085113
91	0.6820537803	0.6427698822
92	0.6821554689	0.6424963879
93	0.6822465849	0.6421722668
94	0.6823622715	0.6419012543
95	0.6824741844	0.6415012173
96	0.6826833876	0.6413149056
97	0.6828446531	0.6410713791
98	0.6830093698	0.6407719463
99	0.6830875936	0.6405642092
100	0.6832744731	0.6402607016
101	0.6834308548	0.6399012354
102	0.6836417963	0.6396626951
103	0.6839096052	0.6394674961
104	0.6840743943	0.6391387031
105	0.684195471	0.6388913264
106	0.6842650493	0.6386337243
107	0.6843858031	0.6384726572
108	0.6845053683	0.6382846636
109	0.6846823676	0.6380526035
110	0.6847198408	0.6379300913
111	0.6848159126	0.6377641691
112	0.6848903373	0.6374765299
113	0.6849895324	0.6372217754
114	0.6850738161	0.6370211751
115	0.6852172635	0.6368635891
116	0.685370993	0.6367034059
117	0.6854808877	0.6363990489
118	0.6855891832	0.6361053459
119	0.6857859813	0.6358892774
120	0.6859570656	0.6356901785
121	0.6860838826	0.6355159065
122	0.6862677861	0.6353790799
123	0.686467336	0.635228193
124	0.6865078131	0.6349893751
125	0.6866003663	0.6347189465
126	0.686663537	0.6345673069
127	0.6868087015	0.6343150552
128	0.687046332	0.6341601192
129	0.6871754764	0.63393275
130	0.6872773588	0.6336974057
131	0.6873882269	0.6335820424
132	0.6874999577	0.6332973718
133	0.6875849333	0.6331273541
134	0.6876990669	0.6329210136
135	0.6877835295	0.6327756339
136	0.6878439303	0.6325860223
137	0.687975523	0.6324167612
138	0.6881594264	0.6322982368
139	0.6882711809	0.6319765368
140	0.6884049926	0.6317982287
141	0.6885002335	0.631606552
142	0.6885169083	0.6313992025
143	0.6885994496	0.6311380623
144	0.6886979957	0.6310306118
145	0.6887465564	0.6307910773
146	0.6889008084	0.6305932893
147	0.6890489879	0.6304227463
148	0.6891379091	0.6303277793
149	0.6892951029	0.6301317567
150	0.6893445594	0.6299795257
151	0.6894465007	0.629811048
152	0.6894700202	0.629614691
153	0.6895056816	0.6293978323
154	0.6895975163	0.6292972467
155	0.6896854647	0.6291181794
156	0.6899108328	0.6289321149
157	0.6899941963	0.6287781655
158	0.6901201451	0.6285738364
159	0.690305172	0.6284636933
160	0.6904032987	0.6283259762
161	0.6905261097	0.6281674881
162	0.6906392188	0.6280212444
163	0.6908019881	0.6278796488
164	0.6909118523	0.6277380095
165	0.691038742	0.6275805288
166	0.6912016534	0.627380477
167	0.6912884364	0.6271842773
168	0.6913752695	0.6270813425
169	0.6914676042	0.6269282072
170	0.6915730689	0.6267847831
171	0.6916943427	0.6265931074
172	0.6917761869	0.6264112204
173	0.6918738713	0.6262681118
174	0.6921687059	0.6261249655
175	0.6921970875	0.6260011574
176	0.6923287844	0.6258606423
177	0.6923321774	0.6257021246
178	0.6923938134	0.6255122569
179	0.6924526486	0.6253965145
180	0.6925540851	0.6252917649
181	0.6925859461	0.6250978551
182	0.6926871819	0.624954264
183	0.6927435754	0.624825762
184	0.692843592	0.6247012302
185	0.6928606712	0.6245559942
186	0.6930066176	0.6243766304
187	0.6931492423	0.6242296449
188	0.6932353029	0.6240960541
189	0.6933096441	0.6239513578
190	0.6933476807	0.6238495116
191	0.6933702981	0.623661378
192	0.693432822	0.6235125089
193	0.6934726418	0.6234249311
194	0.6935367542	0.6233036734
195	0.6936679978	0.6231797316
196	0.6937229842	0.6229693406
197	0.6937746232	0.622849272
198	0.6939376722	0.6227291727
199	0.6940328971	0.6225486789
200	0.6941013522	0.6224468753
201	0.6942297887	0.6222931293
202	0.6942589695	0.622155646
203	0.6942875412	0.6219981511
204	0.6943619472	0.6218345133
205	0.6944788467	0.6216932733
206	0.6945736005	0.6215298913
207	0.6945948924	0.6214021411
208	0.6947442462	0.6212953429
209	0.6948679686	0.6211413623
210	0.6950082928	0.621036643
211	0.6950787699	0.6208570609
212	0.6951620986	0.6206550545
213	0.6952470524	0.6205195546
214	0.6953032327	0.6203837724
215	0.6953722419	0.6202445812
216	0.6953975026	0.6200733429
217	0.6954769144	0.6199235533
218	0.6955389377	0.6197795733
219	0.6955811125	0.6196584665
220	0.695639497	0.6194831118
221	0.6956797139	0.6193740747
222	0.6957287076	0.6192430433
223	0.6957910494	0.6191383262
224	0.6958165201	0.6189969586
225	0.6958581302	0.6189024664
226	0.6958843339	0.618713553
227	0.6959839042	0.6186369411
228	0.6960682637	0.6185595204
229	0.6960982278	0.618417748
230	0.6962127657	0.6182946047
231	0.6963748471	0.6181257815
232	0.6964751654	0.6180242048
233	0.6966649389	0.6178798274
234	0.696719392	0.6177412763
235	0.6967282317	0.6176378107
236	0.6967973615	0.6175616493
237	0.6968648631	0.6174546263
238	0.6970226107	0.6173541957
239	0.6971717687	0.6172428343
240	0.6972947239	0.6171041192
241	0.6974415937	0.6169975974
242	0.6975075707	0.6168358355
243	0.697579609	0.6167388318
244	0.6975957814	0.6165918793
245	0.69770886	0.6164236675
246	0.6977128278	0.6163175
247	0.6977755022	0.616200022
248	0.6978415933	0.6160730285
249	0.6978347841	0.6159536826
250	0.6978983416	0.6158490756
251	0.6979598119	0.6157577275
252	0.698011779	0.6156165131
253	0.6981416503	0.6155364326
254	0.6981625852	0.6154212699
255	0.698187106	0.6153025226
256	0.6983440909	0.6151914844
257	0.6983946442	0.6150896951
258	0.6984615621	0.6149798974
259	0.6984883798	0.6148623938
260	0.6985801356	0.6147336262
261	0.6986232767	0.6146481461
262	0.6987334059	0.6145338039
263	0.6988107151	0.6144078356
264	0.6989084414	0.6142227682
265	0.6990228911	0.6141012446
266	0.6991165153	0.6139531871
267	0.6991924675	0.6138365465
268	0.6992502732	0.6137181384
269	0.6992959956	0.6135995833
270	0.6993617303	0.6134466794
271	0.6994805718	0.6133315797
272	0.6995476443	0.6132627204
273	0.6996406484	0.6131318256
274	0.6996824723	0.6129860393
275	0.6997225628	0.6128272094
276	0.6998024422	0.6126805801
277	0.6998837887	0.612523229
278	0.7000330218	0.6124253736
279	0.7001159814	0.6123509965
280	0.7001404263	0.6122353552
281	0.7001902214	0.6121194645
282	0.7002113046	0.612010987
283	0.7002895812	0.6118906634
284	0.7003612987	0.6117242256
285	0.7005268135	0.6116038139
286	0.7006279421	0.6115306602
287	0.7007143117	0.6113986002
288	0.700766891	0.6112377724
289	0.700944561	0.6111311688
290	0.7009921229	0.6110058807
291	0.7009962352	0.6108384828
292	0.7011268472	0.6107365799
293	0.7011838473	0.6106896668
294	0.7011971712	0.6105641117
295	0.7013074917	0.6104467273
296	0.7013204023	0.6103138931
297	0.7013490248	0.6102250808
298	0.7013667751	0.6101579566
299	0.7015687473	0.6100263001
300	0.7016411912	0.609900216
301	0.7017650487	0.6097862735
302	0.7018777476	0.6096457277
303	0.7020076755	0.6095396517
304	0.7020513554	0.6094212629
305	0.7020869621	0.6092886518
306	0.702115699	0.609213861
307	0.7021655411	0.6091050813
308	0.7021968512	0.6089763858
309	0.7022518531	0.6088937173
310	0.7022895958	0.6087602701
311	0.7023108267	0.6086592737
312	0.7023654738	0.6085620626
313	0.702485085	0.6084578188
314	0.7025102212	0.6083708922
315	0.7026240135	0.6082805895
316	0.7026527605	0.6081494245
317	0.7027686552	0.6080537067
318	0.7028807218	0.6079477685
319	0.7029892227	0.6078607245
320	0.7030449072	0.6077145159
321	0.7031338333	0.6076103182
322	0.7031633919	0.6074821395
323	0.7033029385	0.6073693618
324	0.7033734678	0.6072432061
325	0.7034529919	0.6071299241
326	0.7035990957	0.6070076193
327	0.703637687	0.6069042985
328	0.7037830032	0.6067894979
329	0.7038910359	0.6067100173
330	0.703926055	0.6065548893
331	0.7040637692	0.6064412771
332	0.7040876114	0.6062598866
333	0.7042336588	0.6061784829
334	0.7043115539	0.6060955631
335	0.704352077	0.6059698154
336	0.704438606	0.6058850051
337	0.7044900801	0.605798197
338	0.704522273	0.6057048127
