iter	Passed	Remaining
0	78	39164
1	151	37646
2	210	34866
3	268	33298
4	328	32546
5	385	31777
6	441	31062
7	496	30561
8	551	30096
9	590	28910
10	650	28918
11	704	28653
12	761	28521
13	816	28354
14	871	28163
15	927	28066
16	981	27890
17	1038	27805
18	1093	27674
19	1104	26507
20	1159	26448
21	1214	26387
22	1280	26549
23	1336	26509
24	1390	26426
25	1446	26363
26	1500	26284
27	1557	26247
28	1612	26185
29	1666	26113
30	1721	26043
31	1776	25974
32	1831	25915
33	1892	25936
34	1948	25884
35	2004	25834
36	2059	25769
37	2115	25717
38	2169	25649
39	2224	25582
40	2278	25509
41	2334	25456
42	2388	25387
43	2443	25322
44	2497	25256
45	2551	25186
46	2606	25124
47	2663	25082
48	2718	25023
49	2773	24959
50	2829	24907
51	2886	24868
52	2942	24815
53	2997	24755
54	3052	24698
55	3108	24644
56	3165	24600
57	3220	24540
58	3274	24479
59	3329	24419
60	3384	24354
61	3439	24296
62	3494	24236
63	3550	24190
64	3605	24130
65	3661	24077
66	3717	24024
67	3772	23967
68	3827	23905
69	3882	23850
70	3938	23797
71	3994	23746
72	4050	23691
73	4106	23638
74	4161	23583
75	4215	23519
76	4269	23452
77	4323	23393
78	4378	23335
79	4433	23275
80	4489	23222
81	4542	23157
82	4596	23094
83	4650	23032
84	4705	22972
85	4760	22915
86	4815	22859
