iter	MultiClass
0	1.079419644
1	1.063829542
2	1.050903371
3	1.03961483
4	1.029085037
5	1.020805624
6	1.011574304
7	1.002845373
8	0.9934268865
9	0.9860401869
10	0.9775996594
11	0.9720123411
12	0.9658365903
13	0.9600055519
14	0.9547392434
15	0.9475586248
16	0.9424258703
17	0.9371122493
18	0.9324214518
19	0.9288499306
20	0.9238999382
21	0.9185641401
22	0.9130956187
23	0.9097357384
24	0.9026570512
25	0.897404992
26	0.8939607147
27	0.8914492028
28	0.8881725764
29	0.8855090722
30	0.8833089476
31	0.8809634115
32	0.8777892779
33	0.8734665296
34	0.8699190675
35	0.8674928309
36	0.8643769215
37	0.8626458142
38	0.8601903863
39	0.8566882929
40	0.8542456044
41	0.850346922
42	0.8479341874
43	0.8458655888
44	0.842816166
45	0.8397594695
46	0.836984013
47	0.8352539935
48	0.8333924912
49	0.8304454055
50	0.828019986
51	0.8262424913
52	0.8240998985
53	0.8223173629
54	0.820452828
55	0.8166627545
56	0.8131713586
57	0.811300535
58	0.8087548133
59	0.8065609301
60	0.8045994703
61	0.8025068949
62	0.8007155254
63	0.7992383433
64	0.7972416556
65	0.7953172316
66	0.7928380959
67	0.7907559233
68	0.7888578042
69	0.7870614332
70	0.7859266995
71	0.7847741637
72	0.783258495
73	0.7822569812
74	0.7810741512
75	0.7790819739
76	0.7774037162
77	0.7763517648
78	0.7749017243
79	0.773794438
80	0.7721864404
81	0.7713301772
82	0.769810778
83	0.7675561577
84	0.7659975376
85	0.7635961181
86	0.7628504721
87	0.7616396028
88	0.7597422744
89	0.7581055802
90	0.7562296928
91	0.7539370538
92	0.7523408797
93	0.7509429485
94	0.7493405837
95	0.7468485138
96	0.7457631669
97	0.7444151791
98	0.7432612541
99	0.7411682481
