iter	Passed	Remaining
0	139	13858
1	214	10519
2	291	9421
3	364	8747
4	435	8270
5	504	7911
6	578	7692
7	655	7533
8	726	7345
9	797	7176
10	866	7012
11	934	6855
12	1004	6722
13	1072	6588
14	1140	6464
15	1211	6361
16	1283	6266
17	1353	6164
18	1423	6067
19	1494	5979
20	1567	5896
21	1642	5824
22	1727	5781
23	1803	5710
24	1877	5632
25	1948	5544
26	2018	5456
27	2087	5368
28	2157	5281
29	2231	5206
30	2301	5121
31	2373	5044
32	2445	4964
33	2524	4901
34	2607	4841
35	2683	4770
36	2758	4696
37	2835	4625
38	2910	4551
39	2986	4479
40	3059	4403
41	3131	4324
42	3201	4243
43	3273	4166
44	3346	4090
45	3422	4017
46	3494	3940
47	3566	3864
48	3638	3786
49	3710	3710
50	3780	3632
51	3889	3590
52	4001	3548
53	4072	3469
54	4144	3390
55	4221	3317
56	4297	3241
57	4386	3176
58	4474	3109
59	4548	3032
60	4618	2952
61	4691	2875
62	4764	2798
63	4837	2721
64	4912	2645
65	4984	2567
66	5054	2489
67	5124	2411
68	5196	2334
69	5271	2259
70	5343	2182
71	5418	2107
72	5486	2029
73	5555	1951
74	5628	1876
75	5700	1800
76	5770	1723
77	5840	1647
78	5915	1572
79	5985	1496
80	6056	1420
81	6127	1345
82	6196	1269
83	6264	1193
84	6333	1117
85	6407	1043
86	6485	969
87	6561	894
88	6643	821
89	6729	747
90	6811	673
91	6887	598
92	6965	524
93	7042	449
94	7117	374
95	7190	299
96	7259	224
97	7329	149
98	7402	74
99	7480	0
